brand,brand_url,model,repair_type,price,source,part_name,date_Of_Scrapping
apple,www.phoneandcbd.com,iphone,other,0.0,www.phoneandcbd.com,Apple iPhone 13 pro max reconditionné,05-04-2026
apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,0.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,799.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,799.0,www.phoneandcbd.com,Apple iPhone 13 pro reconditionné,05-04-2026
apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,799.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,699.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,699.0,www.phoneandcbd.com,Apple iPhone 13,05-04-2026
apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,699.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,599.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,599.0,www.phoneandcbd.com,Apple iPhone 13 mini,05-04-2026
apple,https://phoneandcbd.fr/collections/iphone-13-marseille,iphone,other,599.0,www.phoneandcbd.com,other,05-04-2026
apple,www.phoneandcbd.com,iphone,other,499.0,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,499.0,www.phoneandcbd.com,Réparation écran-20%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,499.0,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,79.92,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,79.92,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,79.92,www.phoneandcbd.com,Remplacement batterie-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,79.92,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,Réparation Appareil photo avant-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,Tiroir carte Sim-60%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,2.36,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,2.36,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,2.36,www.phoneandcbd.com,Réparation écran-20%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,batterie,2.36,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,79.92,www.phoneandcbd.com,Batterie,05-04-2026
