brand,brand_url,model,repair_type,price,date_Of_Scrapping,repair_type_matched
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,module afficheur,149.9,2026-04-05T11:59:42+00:00,False
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,batterie,79.9,2026-04-05T11:59:42+00:00,True
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,caméra arriére,109.9,2026-04-05T11:59:42+00:00,False
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,appareil photo avant,89.9,2026-04-05T11:59:42+00:00,True
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,ecouteur,59.9,2026-04-05T11:59:42+00:00,True
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,haut parleur,59.9,2026-04-05T11:59:42+00:00,True
apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,iphone 16e,micro,99.9,2026-04-05T11:59:42+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,module afficheur,389.9,2026-04-05T12:00:00+00:00,False
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,batterie,79.9,2026-04-05T12:00:00+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,appareil photo avant,89.9,2026-04-05T12:00:00+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,caméra arriére,109.9,2026-04-05T12:00:00+00:00,False
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,ecouteur,59.9,2026-04-05T12:00:00+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,haut parleur,59.9,2026-04-05T12:00:00+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,iphone 16 pro max,micro,99.9,2026-04-05T12:00:00+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,module afficheur,289.9,2026-04-05T12:00:16+00:00,False
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,batterie,79.9,2026-04-05T12:00:16+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,connecteur de charge,99.9,2026-04-05T12:00:16+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,appareil photo avant,89.9,2026-04-05T12:00:16+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,caméra arriére,109.9,2026-04-05T12:00:16+00:00,False
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,micro,59.9,2026-04-05T12:00:16+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,ecouteur,59.9,2026-04-05T12:00:16+00:00,True
apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,iphone 16 pro,haut parleur,59.9,2026-04-05T12:00:16+00:00,True
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,module afficheur,209.9,2026-04-05T12:00:33+00:00,False
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,batterie,79.9,2026-04-05T12:00:33+00:00,True
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,appareil photo avant,89.9,2026-04-05T12:00:33+00:00,True
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,caméra arriére,109.9,2026-04-05T12:00:33+00:00,False
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,ecouteur,59.9,2026-04-05T12:00:33+00:00,True
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,haut parleur,59.9,2026-04-05T12:00:33+00:00,True
apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,iphone 16 plus,micro,99.9,2026-04-05T12:00:33+00:00,True
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,module afficheur,189.9,2026-04-05T12:00:51+00:00,False
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,batterie,79.9,2026-04-05T12:00:51+00:00,True
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,appareil photo avant,89.9,2026-04-05T12:00:51+00:00,True
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,caméra arriére,109.9,2026-04-05T12:00:51+00:00,False
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,micro,99.9,2026-04-05T12:00:51+00:00,True
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,ecouteur,59.9,2026-04-05T12:00:51+00:00,True
apple,https://save.co/reparation/apple/iphone-16?shop=DT060,iphone 16,haut parleur,59.9,2026-04-05T12:00:51+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,module afficheur iphone 15 pro max,229.9,2026-04-05T12:01:08+00:00,False
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,batterie,79.9,2026-04-05T12:01:08+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,appareil photo avant,89.9,2026-04-05T12:01:08+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,caméra arriére iphone 15 pro max,109.9,2026-04-05T12:01:08+00:00,False
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,ecouteur,59.9,2026-04-05T12:01:08+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,haut parleur,59.9,2026-04-05T12:01:08+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,micro,59.9,2026-04-05T12:01:08+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,iphone 15 pro max,connecteur de charge,99.9,2026-04-05T12:01:08+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,module afficheur iphone 15 pro,209.9,2026-04-05T12:01:28+00:00,False
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,batterie,79.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,appareil photo avant,89.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,caméra arriére iphone 15 pro,109.9,2026-04-05T12:01:28+00:00,False
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,ecouteur,59.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,haut parleur,59.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,micro,59.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,iphone 15 pro,connecteur de charge,99.9,2026-04-05T12:01:28+00:00,True
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,module afficheur iphone 15 plus,189.9,2026-04-05T12:01:43+00:00,False
apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,iphone 15 plus,batterie,79.9,2026-04-05T12:01:43+00:00,True
