title,price,link
"Electronic Spices 32 In 1 Screwdriver Tool Set Tool Kit For Mobile, Laptop Repairing & Repair Tool Kit - Multicolour",Rs. 599,https://www.daraz.pk/products/1-32-i833609269.html
"32-in-1 Multifunction Manual Screwdriver Kit for Mobile Phone, Computer Electronic Repair Tool Set, Product with Extension Rod",Rs. 559,https://www.daraz.pk/products/1-32-i833609556.html
"32-in-1 Precise Magnetic Screwdriver Set – Multifunction Repair Tool Kit for Mobile, Laptop, Watch & Electronics""*",Rs. 449,https://www.daraz.pk/products/1-32-i146654990.html
SW-1030 TOOL SET DRIVER SET FOR OPENING MOBILE TABLET LAPTOP REPAIR KIT for mobile repairing,Rs. 839,https://www.daraz.pk/products/sw-1030-tool-set-driver-set-for-opening-mobile-tablet-laptop-repair-kit-for-mobile-repairing-i539897754.html
"24 in 1 Magnetic Precision Screwdriver Set | Multi-Function Repair Tool Kit for Mobile, Laptop, Watch, Glasses & Electronics | Professional Precision Kit for Repairing | 25 in 1 Screwdriver Kit",Rs. 512,https://www.daraz.pk/products/1-24-1-25-i909619149.html
"B6000 B7000 E8000 available in different sizes  –  Multi-Purpose Adhesive Glue for Crafts, Mobile Repair, Jewelry, Fabric & DIY",Rs. 397,https://www.daraz.pk/products/b6000-b7000-e8000-diy-i947289109.html
SW-1688 and SW-2811 14 in 1 Screwdrivers Mobile Repairing Tool Kit Screwdriver Set Repair Tools Phone Disassemble Mobile hand tool by Electrica,"Rs. 1,026",https://www.daraz.pk/products/sw-1688-and-sw-2811-14-in-1-screwdrivers-mobile-repairing-tool-kit-screwdriver-set-repair-tools-phone-disassemble-mobile-hand-tool-by-electrica-i631733949.html
Soldering Iron 40 Watt Best For Mobile & Computer Repairing,Rs. 999,https://www.daraz.pk/products/40-i406106103.html
7-in-1 Mobile Phone Repair Tool Kit HT18,Rs. 199,https://www.daraz.pk/products/7-in-1-mobile-phone-repair-tool-kit-ht18-i1946870820.html
"24 in 1 Magnetic Precision Screwdriver Set | Mini Pocket Repair Tool Kit for Mobile, Laptop, Camera, Watch, Glasses & Electronics",Rs. 510,https://www.daraz.pk/products/1-24-cwrry-i846537803.html
31 in 1 Repair Tools Kit for Tablet PC Cameras Watches Glasses Laptop | Screw Driver Bit Set | Precision Torx Driver set | Electronic Precise Manual ScrewDriver Tool Set | Mini Disassembly Mobile Phone Opening Tool | CRV BITS Holder,Rs. 399,https://www.daraz.pk/products/1-31-crv-i566323550.html
"3-in-1 Stainless Steel Screwdriver Repair Tool Kit with Keychain Design - Mini Portable Set for Glasses, Watches, Mobile Phones, and Jewelry (Flat + Phillips + Hexagonal Head) - Durable and Precise Maintenance, Magnetic Screwdriver and Keychain",Rs. 175,https://www.daraz.pk/products/1-3-i1952730041.html
"24 in 1 Magnetic Precision Screwdriver Set | Multi-Function Repair Tool Kit for Mobile, Laptop, Watch, Glasses & Electronics | Professional Precision Kit for Repairing | 25 in 1 Screwdriver Kit",Rs. 562,https://www.daraz.pk/products/24-in-1-magnetic-precision-screwdriver-set-multi-function-repair-tool-kit-for-mobile-laptop-watch-glasses-electronics-professional-precision-kit-for-repairing-25-in-1-screwdriver-kit-i1947739637.html
"24-in-1 Precision Screwdriver Set 🔥 Compact Magnetic Tool Kit | Multi-Bit Repair Kit for Mobile, Laptop, Watch & Household Use (Black)",Rs. 527,https://www.daraz.pk/products/1-24-i1949880002.html
6 in 1 Repair Opening Tool Kit Screwdriver Set Tools Disassemble Mobile Precision  Screwdriver P-30 vr 01,Rs. 221,https://www.daraz.pk/products/6-1-p-30-vr-01-i428521942.html
MECHANIC UV 559 SOLDERING FLUX PASTE for Mobile Repairing,Rs. 499,https://www.daraz.pk/products/mechanic-uv-559-soldering-flux-paste-for-mobile-repairing-i885263788.html
"KC 5 in 1 Gold Soldering Iron Bit Set – 900M Copper Tips for PCB, Mobile Repair & Electronics Work",Rs. 720,https://www.daraz.pk/products/kc-5-1-900m-i1950761650.html
Universal Magnetic  Screwdriver Set 31_IN_/ Mobile Repair Mini Tool kit,Rs. 570,https://www.daraz.pk/products/universal-magnetic-screwdriver-set-31_in_-mobile-repair-mini-tool-kit-i393728901.html
Universal 4 Line Adjustable DC Power Supply Cable Multi-Function Current Test Wire with USB Output and Alligator Clips for Mobile Phone Repair Tools (iPhone/Android) – by Electrica,Rs. 519,https://www.daraz.pk/products/universal-4-line-adjustable-dc-power-supply-cable-multi-function-current-test-wire-with-usb-output-and-alligator-clips-for-mobile-phone-repair-tools-iphoneandroid-by-electrica-i475144391.html
DT-002 Inductance Detector Precision Electromagnetic Induction for Mobile Phone Check Inductor Detector Repair Tools,Rs. 750,https://www.daraz.pk/products/dt-002-i1949128762.html
32 in 1 Precision Screwdriver Set Magnetic Multi Bit Tool Kit for Mobile Phone Laptop Watch Repair Hand Tools Kit,Rs. 430,https://www.daraz.pk/products/32-1-i938636665.html
TE 801 Welding Magnifying Glass 2 LED Auxiliary Clip Magnifier 3 In 1 Hand Soldering Solder Iron Stand Holder Station Soldering Helping Hand Soldering Stand Mobile Repairing Accessories,"Rs. 1,699",https://www.daraz.pk/products/801-2-3-1-i457911962.html
Silicon Repair Mat for Mobile Repair Heat Insulation 45x30cm,"Rs. 2,999",https://www.daraz.pk/products/45x30cm-i224229087.html
"24 in 1 Magnetic Precision Screwdriver Set | Multi-Function Repair Tool Kit for Mobile, Laptop, Watch, Glasses & Electronics | Professional Precision Kit for Repairing | 25 in 1 Screwdriver Kit",Rs. 543,https://www.daraz.pk/products/24-in-1-magnetic-precision-screwdriver-set-multi-function-repair-tool-kit-for-mobile-laptop-watch-glasses-electronics-professional-precision-kit-for-repairing-25-in-1-screwdriver-kit-i1950101613.html
"24 in 1 Magnetic Precision Screwdriver Set | Multi-Function Repair Tool Kit for Mobile, Laptop, Watch, Glasses & Electronics | Professional Precision Kit for Repairing | 25 in 1 Screwdriver Kit",Rs. 562,https://www.daraz.pk/products/24-in-1-magnetic-precision-screwdriver-set-multi-function-repair-tool-kit-for-mobile-laptop-watch-glasses-electronics-professional-precision-kit-for-repairing-25-in-1-screwdriver-kit-i1947769501.html
"Power Supply 24V (5A) for pc, mobile repairing","Rs. 1,999",https://www.daraz.pk/products/24-5a-i539887102.html
INSTAORDER - 31 in 1 - Electronic Precise Manual Screw Driver Tools Set CRV BITS With Holder for Telecommunications - Mobile Repairing Kit - Screwdriver Set,Rs. 499,https://www.daraz.pk/products/instaorder-31-in-1-electronic-precise-manual-screw-driver-tools-set-crv-bits-with-holder-for-telecommunications-mobile-repairing-kit-screwdriver-set-i358186997.html
MECHANIC V52 Silicone Soldering Mat 320×228mm – 500°C Heat-Resistant ESD Repair Pad with Parts Organizer for Mobile Phone Repairing Workbench by Electrica,Rs. 969,https://www.daraz.pk/products/mechanic-v52-silicone-soldering-mat-320228mm-500c-heat-resistant-esd-repair-pad-with-parts-organizer-for-mobile-phone-repairing-workbench-by-electrica-i481677396.html
Screwdriver Set 8 in 1 SW-6308A mobile repairing Set,Rs. 299,https://www.daraz.pk/products/8-1-sw-6308a-i945687247.html
6Pcs Universal Mobile Phone Repair Opening Tool Metal Steel Kits Pry Disassemble Phone Repair dismantling crowbar hand tool set TE-666 by Electrica,Rs. 899,https://www.daraz.pk/products/6pcs-universal-mobile-phone-repair-opening-tool-metal-steel-kits-pry-disassemble-phone-repair-dismantling-crowbar-hand-tool-set-te-666-by-electrica-i887199676.html
mobile repairing tools (6 in 1 pack)best quality scrowdriver set for all mobile repairing use,Rs. 320,https://www.daraz.pk/products/mobile-repairing-tools-6-in-1-packbest-quality-scrowdriver-set-for-all-mobile-repairing-use-i923078860.html
MECHANIC mobile phone computer repair workbench table mat multifunctional magnetic ESD 500℃ temperature heat insulation silicone mat For Mobile Repairing Mat Cell Phone Repair Tool by Electrica,Rs. 865,https://www.daraz.pk/products/mechanic-mobile-phone-computer-repair-workbench-table-mat-multifunctional-magnetic-esd-500-temperature-heat-insulation-silicone-mat-for-mobile-repairing-mat-cell-phone-repair-tool-by-electrica-i242881424.html
Car Dent Puller Suction Cup - Heavy Duty Dent Remover Handle Lifter - Glass Puller & Mobile Screen Opening Tool - Powerful Vacuum Suction Pad (Premium ABS),Rs. 198,https://www.daraz.pk/products/abs-i1950192849.html
Mix Original MECHANIC Products 10ml UV Curing Solder Mask UV Light DT3 Cable Tester Glue Remover Soldering Wire Soldering Paste Solder Wick MC-UFO Universal Stencil and heat insulation silicone mat For Mobile Repairing Multicolor by Electrica,Rs. 264,https://www.daraz.pk/products/mix-original-mechanic-products-10ml-uv-curing-solder-mask-uv-light-dt3-cable-tester-glue-remover-soldering-wire-soldering-paste-solder-wick-mc-ufo-universal-stencil-and-heat-insulation-silicone-mat-for-mobile-repairing-multicolor-by-electrica-i254997026.html
7-in-1 Mobile Phone Repair Tool Kit HT18,Rs. 240,https://www.daraz.pk/products/1-7-ht18-i738382268.html
Uv Light Lamp Mobile Phone Repair Tool USB 5V LED UV Glue Curing Lamp,"Rs. 1,750",https://www.daraz.pk/products/uv-usb-5-led-uv-i313111878.html
31 In 1 Precision Handle Screwdriver Set Mobile Phone Repair Kit,Rs. 399,https://www.daraz.pk/products/1-31-i102448127.html
5pcs pack Jumper Wire for Mobile Phone Repairing,Rs. 140,https://www.daraz.pk/products/5pcs-pack-jumper-wire-for-mobile-phone-repairing-i405541718.html
Display Panel for iphone 7 & 7 plus (complete LCD) - Just install n Use!!  [FREE REPAIR TOOLKIT],"Rs. 3,650",https://www.daraz.pk/products/7-7-lcd-i249449624.html
