brand,model,repair_type,recommended_price,min_price,max_price,average_price,confidence_score,pricing_status,source
apple,iphone,other,0.0,,,0.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,0.0,,,0.0,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/iphone-13-marseille
apple,iphone,other,799.0,,,799.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,799.0,,,799.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,799.0,,,799.0,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/iphone-13-marseille
apple,iphone,other,699.0,,,699.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,699.0,,,699.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,699.0,,,699.0,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/iphone-13-marseille
apple,iphone,other,599.0,,,599.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,599.0,,,599.0,0.0,inconsistent pricing,www.phoneandcbd.com
apple,iphone,other,599.0,,,599.0,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/iphone-13-marseille
apple,iphone,other,499.0,,,499.0,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,other,499.0,,,499.0,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,other,499.0,,,499.0,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,other,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,other,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,other,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,other,79.92,,,79.92,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,www.phoneandcbd.com
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,www.phoneandcbd.com
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,www.phoneandcbd.com
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,www.phoneandcbd.com
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,www.phoneandcbd.com
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,www.phoneandcbd.com
samsung,samsung,other,34.74,,,34.74,0.08853754940711463,weak match,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,other,2.36,,,2.36,0.006014640662083774,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,other,2.36,,,2.36,0.006014640662083774,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,batterie,2.36,,,2.36,0.007426240001144251,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,batterie,2.36,,,2.36,0.007426240001144251,inconsistent pricing,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,batterie,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,batterie,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,batterie,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,batterie,79.92,,,79.92,0.0,inconsistent pricing,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,www.phoneandcbd.com
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,www.phoneandcbd.com
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,www.phoneandcbd.com
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,www.phoneandcbd.com
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,www.phoneandcbd.com
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,www.phoneandcbd.com
samsung,samsung,batterie,34.74,,,34.74,0.1093167701863354,weak match,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,batterie,2.36,,,2.36,0.007426240001144251,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,batterie,2.36,,,2.36,0.007426240001144251,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,appareil photo avant,2.36,,,2.36,0.006679721119910346,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,appareil photo avant,2.36,,,2.36,0.006679721119910346,inconsistent pricing,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille
samsung,samsung,appareil photo avant,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,appareil photo avant,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
samsung,samsung,appareil photo avant,79.92,,,79.92,0.0,inconsistent pricing,www.phoneandcbd.com
