title,url,price,image,source
Samsung Galaxy M01 Core,https://images.priceoye.pk/samsung-galaxy-m01-core-pakistan-priceoye-0txd9-100x100.webp,20999.0,https://images.priceoye.pk/samsung-galaxy-m01-core-pakistan-priceoye-0txd9-100x100.webp,www.priceoye.com
Samsung Galaxy Note 21,https://images.priceoye.pk/samsung-galaxy-note-21-pakistan-priceoye-r83bp-100x100.webp,183999.0,https://images.priceoye.pk/samsung-galaxy-note-21-pakistan-priceoye-r83bp-100x100.webp,www.priceoye.com
Samsung Galaxy Z Flip Lite,https://images.priceoye.pk/samsung-galaxy-z-flip-lite-pakistan-priceoye-q57t1-100x100.webp,153999.0,https://images.priceoye.pk/samsung-galaxy-z-flip-lite-pakistan-priceoye-q57t1-100x100.webp,www.priceoye.com
Samsung Galaxy A013,https://images.priceoye.pk/samsung-galaxy-a013-pakistan-priceoye-lknom-100x100.webp,13999.0,https://images.priceoye.pk/samsung-galaxy-a013-pakistan-priceoye-lknom-100x100.webp,www.priceoye.com
Samsung Galaxy A40s,https://images.priceoye.pk/samsung-galaxy-a40s-pakistan-priceoye-sdn9r-100x100.webp,54000.0,https://images.priceoye.pk/samsung-galaxy-a40s-pakistan-priceoye-sdn9r-100x100.webp,www.priceoye.com
Samsung Galaxy Jean2,https://images.priceoye.pk/samsung-galaxy-jean2-pakistan-priceoye-gb3ut-100x100.webp,33300.0,https://images.priceoye.pk/samsung-galaxy-jean2-pakistan-priceoye-gb3ut-100x100.webp,www.priceoye.com
Samsung Galaxy Note 10 Exynos,https://images.priceoye.pk/samsung-galaxy-note-10-exynos-pakistan-priceoye-hd2vz-100x100.webp,169999.0,https://images.priceoye.pk/samsung-galaxy-note-10-exynos-pakistan-priceoye-hd2vz-100x100.webp,www.priceoye.com
Samsung Galaxy S10 5G Exynos,https://images.priceoye.pk/samsung-galaxy-s10-5g-exynos-pakistan-priceoye-l9mwz-100x100.webp,187500.0,https://images.priceoye.pk/samsung-galaxy-s10-5g-exynos-pakistan-priceoye-l9mwz-100x100.webp,www.priceoye.com
Samsung Galaxy S10e Exynos,https://images.priceoye.pk/samsung-galaxy-s10e-exynos-pakistan-priceoye-hjdqc-100x100.webp,125000.0,https://images.priceoye.pk/samsung-galaxy-s10e-exynos-pakistan-priceoye-hjdqc-100x100.webp,www.priceoye.com
Samsung Galaxy Zero,https://images.priceoye.pk/samsung-galaxy-zero-pakistan-priceoye-kk81s-100x100.webp,210000.0,https://images.priceoye.pk/samsung-galaxy-zero-pakistan-priceoye-kk81s-100x100.webp,www.priceoye.com
Samsung Galaxy S7 mini,https://images.priceoye.pk/samsung-galaxy-s7-mini-pakistan-priceoye-eb7fv-100x100.webp,35000.0,https://images.priceoye.pk/samsung-galaxy-s7-mini-pakistan-priceoye-eb7fv-100x100.webp,www.priceoye.com
Samsung Galaxy Fold 2,https://images.priceoye.pk/samsung-galaxy-fold-2-pakistan-priceoye-l2egr-100x100.webp,222800.0,https://images.priceoye.pk/samsung-galaxy-fold-2-pakistan-priceoye-l2egr-100x100.webp,www.priceoye.com
Samsung Galaxy Note 10 5G Exynos,https://images.priceoye.pk/samsung-galaxy-note-10-5g-exynos-pakistan-priceoye-0wj2t-100x100.webp,189999.0,https://images.priceoye.pk/samsung-galaxy-note-10-5g-exynos-pakistan-priceoye-0wj2t-100x100.webp,www.priceoye.com
Samsung Galaxy Amp Prime 3,https://images.priceoye.pk/samsung-galaxy-amp-prime-3-pakistan-priceoye-lhk4c-100x100.webp,24050.0,https://images.priceoye.pk/samsung-galaxy-amp-prime-3-pakistan-priceoye-lhk4c-100x100.webp,www.priceoye.com
Samsung Galaxy On5 (2016),https://images.priceoye.pk/samsung-galaxy-on5-2016-pakistan-priceoye-mxxya-100x100.webp,15999.0,https://images.priceoye.pk/samsung-galaxy-on5-2016-pakistan-priceoye-mxxya-100x100.webp,www.priceoye.com
Samsung Galaxy Xcover 4s,https://images.priceoye.pk/samsung-galaxy-xcover-4s-pakistan-priceoye-z6qp8-100x100.webp,42999.0,https://images.priceoye.pk/samsung-galaxy-xcover-4s-pakistan-priceoye-z6qp8-100x100.webp,www.priceoye.com
Samsung Galaxy M20s,https://images.priceoye.pk/samsung-galaxy-m20s-pakistan-priceoye-pof5w-100x100.webp,31000.0,https://images.priceoye.pk/samsung-galaxy-m20s-pakistan-priceoye-pof5w-100x100.webp,www.priceoye.com
Samsung Galaxy Tab Active Pro,https://images.priceoye.pk/samsung-galaxy-tab-active-pro-pakistan-priceoye-nv2cq-100x100.webp,92400.0,https://images.priceoye.pk/samsung-galaxy-tab-active-pro-pakistan-priceoye-nv2cq-100x100.webp,www.priceoye.com
Samsung Galaxy J2 Pure,https://images.priceoye.pk/samsung-galaxy-j2-pure-pakistan-priceoye-eplq1-100x100.webp,15725.0,https://images.priceoye.pk/samsung-galaxy-j2-pure-pakistan-priceoye-eplq1-100x100.webp,www.priceoye.com
Samsung Galaxy Note10 SD855,https://images.priceoye.pk/samsung-galaxy-note10-sd855-pakistan-priceoye-k4ask-100x100.webp,169999.0,https://images.priceoye.pk/samsung-galaxy-note10-sd855-pakistan-priceoye-k4ask-100x100.webp,www.priceoye.com
Samsung Galaxy S10 Plus SD855,https://images.priceoye.pk/samsung-galaxy-s10-plus-sd855-pakistan-priceoye-oizbs-100x100.webp,217899.0,https://images.priceoye.pk/samsung-galaxy-s10-plus-sd855-pakistan-priceoye-oizbs-100x100.webp,www.priceoye.com
