title,url,price,image
Samsung Galaxy M01 Core,Samsung Galaxy M01 Core,"Rs 20,999",https://images.priceoye.pk/samsung-galaxy-m01-core-pakistan-priceoye-0txd9-100x100.webp
Samsung Galaxy Note 21,Samsung Galaxy Note 21,"Rs 183,999",https://images.priceoye.pk/samsung-galaxy-note-21-pakistan-priceoye-r83bp-100x100.webp
Samsung Galaxy Z Flip Lite,Samsung Galaxy Z Flip Lite,"Rs 153,999",https://images.priceoye.pk/samsung-galaxy-z-flip-lite-pakistan-priceoye-q57t1-100x100.webp
Samsung Galaxy A013,Samsung Galaxy A013,"Rs 13,999",https://images.priceoye.pk/samsung-galaxy-a013-pakistan-priceoye-lknom-100x100.webp
Samsung Galaxy A40s,Samsung Galaxy A40s,"Rs 54,000",https://images.priceoye.pk/samsung-galaxy-a40s-pakistan-priceoye-sdn9r-100x100.webp
Samsung Galaxy Jean2,Samsung Galaxy Jean2,"Rs 33,300",https://images.priceoye.pk/samsung-galaxy-jean2-pakistan-priceoye-gb3ut-100x100.webp
Samsung Galaxy Note 10 Exynos,Samsung Galaxy Note 10 Exynos,"Rs 169,999",https://images.priceoye.pk/samsung-galaxy-note-10-exynos-pakistan-priceoye-hd2vz-100x100.webp
Samsung Galaxy S10 5G Exynos,Samsung Galaxy S10 5G Exynos,"Rs 187,500",https://images.priceoye.pk/samsung-galaxy-s10-5g-exynos-pakistan-priceoye-l9mwz-100x100.webp
Samsung Galaxy S10e Exynos,Samsung Galaxy S10e Exynos,"Rs 125,000",https://images.priceoye.pk/samsung-galaxy-s10e-exynos-pakistan-priceoye-hjdqc-100x100.webp
Samsung Galaxy Zero,Samsung Galaxy Zero,"Rs 210,000",https://images.priceoye.pk/samsung-galaxy-zero-pakistan-priceoye-kk81s-100x100.webp
Samsung Galaxy S7 mini,Samsung Galaxy S7 mini,"5|3|Reviews|Rs 35,000",https://images.priceoye.pk/samsung-galaxy-s7-mini-pakistan-priceoye-eb7fv-100x100.webp
Samsung Galaxy Fold 2,Samsung Galaxy Fold 2,"Rs 222,800",https://images.priceoye.pk/samsung-galaxy-fold-2-pakistan-priceoye-l2egr-100x100.webp
Samsung Galaxy Note 10 5G Exynos,Samsung Galaxy Note 10 5G Exynos,"Rs 189,999",https://images.priceoye.pk/samsung-galaxy-note-10-5g-exynos-pakistan-priceoye-0wj2t-100x100.webp
Samsung Galaxy Amp Prime 3,Samsung Galaxy Amp Prime 3,"Rs 24,050",https://images.priceoye.pk/samsung-galaxy-amp-prime-3-pakistan-priceoye-lhk4c-100x100.webp
Samsung Galaxy On5 (2016),Samsung Galaxy On5 (2016),"4.3|6|Reviews|Rs 15,999",https://images.priceoye.pk/samsung-galaxy-on5-2016-pakistan-priceoye-mxxya-100x100.webp
Samsung Galaxy Xcover 4s,Samsung Galaxy Xcover 4s,"Rs 42,999",https://images.priceoye.pk/samsung-galaxy-xcover-4s-pakistan-priceoye-z6qp8-100x100.webp
Samsung Galaxy M20s,Samsung Galaxy M20s,"Rs 31,000",https://images.priceoye.pk/samsung-galaxy-m20s-pakistan-priceoye-pof5w-100x100.webp
