brand,brand_url,model,repair_type,price,timestamp,repair_type_matched
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Module Afficheur,149.9,2026-04-05T11:59:42+00:00,False
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Batterie,79.9,2026-04-05T11:59:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Caméra Arriére,109.9,2026-04-05T11:59:42+00:00,False
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Appareil photo avant,89.9,2026-04-05T11:59:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Ecouteur,59.9,2026-04-05T11:59:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Haut parleur,59.9,2026-04-05T11:59:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Micro,99.9,2026-04-05T11:59:42+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Module Afficheur,389.9,2026-04-05T12:00:00+00:00,False
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Batterie,79.9,2026-04-05T12:00:00+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Appareil photo avant,89.9,2026-04-05T12:00:00+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Caméra Arriére,109.9,2026-04-05T12:00:00+00:00,False
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Ecouteur,59.9,2026-04-05T12:00:00+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Haut parleur,59.9,2026-04-05T12:00:00+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Micro,99.9,2026-04-05T12:00:00+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Module Afficheur,289.9,2026-04-05T12:00:16+00:00,False
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Batterie,79.9,2026-04-05T12:00:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Connecteur de charge,99.9,2026-04-05T12:00:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Appareil photo avant,89.9,2026-04-05T12:00:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Caméra Arriére,109.9,2026-04-05T12:00:16+00:00,False
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Micro,59.9,2026-04-05T12:00:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Ecouteur,59.9,2026-04-05T12:00:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Haut parleur,59.9,2026-04-05T12:00:16+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Module Afficheur,209.9,2026-04-05T12:00:33+00:00,False
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Batterie,79.9,2026-04-05T12:00:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Appareil photo avant,89.9,2026-04-05T12:00:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Caméra Arriére,109.9,2026-04-05T12:00:33+00:00,False
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Ecouteur,59.9,2026-04-05T12:00:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Haut parleur,59.9,2026-04-05T12:00:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Micro,99.9,2026-04-05T12:00:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Module Afficheur,189.9,2026-04-05T12:00:51+00:00,False
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Batterie,79.9,2026-04-05T12:00:51+00:00,True
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Appareil photo avant,89.9,2026-04-05T12:00:51+00:00,True
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Caméra Arriére,109.9,2026-04-05T12:00:51+00:00,False
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Micro,99.9,2026-04-05T12:00:51+00:00,True
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Ecouteur,59.9,2026-04-05T12:00:51+00:00,True
Apple,https://save.co/reparation/apple/iphone-16?shop=DT060,IPHONE 16,Haut parleur,59.9,2026-04-05T12:00:51+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Module Afficheur iPhone 15 Pro Max,229.9,2026-04-05T12:01:08+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Batterie,79.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Appareil photo avant,89.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Caméra Arriére iPhone 15 Pro Max,109.9,2026-04-05T12:01:08+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Ecouteur,59.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Haut parleur,59.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Micro,59.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Connecteur de charge,99.9,2026-04-05T12:01:08+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Module Afficheur iPhone 15 Pro,209.9,2026-04-05T12:01:28+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Batterie,79.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Appareil photo avant,89.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Caméra Arriére iPhone 15 Pro,109.9,2026-04-05T12:01:28+00:00,False
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Ecouteur,59.9,2026-04-05T12:01:28+00:00,True
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Haut parleur,59.9,2026-04-05T12:01:28+00:00,True
