brand,brand_url,model,repair_type,price,timestamp,repair_type_matched,source_score,device_name,device_clean,repair_name,repair_clean,device_score,repair_score,price_clean,median_price,is_outlier,match_score,final_score,device_standard,repair_standard
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Module Afficheur,149.9,2026-04-05T11:59:42+00:00,False,0.5,apple iphone 16e,apple iphone 16e,module afficheur,module afficheur,1.0,1.0,149.9,59.9,True,1.3,0.0,apple iphone 16e,module afficheur
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Batterie,79.9,2026-04-05T11:59:42+00:00,True,0.5,apple iphone 16e,apple iphone 16e,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 16e,battery
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Caméra Arriére,109.9,2026-04-05T11:59:42+00:00,False,0.5,apple iphone 16e,apple iphone 16e,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 16e,camera
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Appareil photo avant,89.9,2026-04-05T11:59:42+00:00,True,0.5,apple iphone 16e,apple iphone 16e,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 16e,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Ecouteur,59.9,2026-04-05T11:59:42+00:00,True,0.5,apple iphone 16e,apple iphone 16e,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16e,ecouteur
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Haut parleur,59.9,2026-04-05T11:59:42+00:00,True,0.5,apple iphone 16e,apple iphone 16e,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16e,haut parleur
Apple,https://save.co/reparation/apple/iphone-16e?shop=DT060,IPHONE 16E,Micro,99.9,2026-04-05T11:59:42+00:00,True,0.5,apple iphone 16e,apple iphone 16e,micro,micro,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 16e,micro
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Module Afficheur,389.9,2026-04-05T12:00:00+00:00,False,0.5,apple iphone 16 pro max,apple iphone 16 pro max,module afficheur,module afficheur,1.0,1.0,389.9,59.9,True,1.3,0.0,apple iphone 16 pro max,module afficheur
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Batterie,79.9,2026-04-05T12:00:00+00:00,True,0.5,apple iphone 16 pro max,apple iphone 16 pro max,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 16 pro max,battery
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Appareil photo avant,89.9,2026-04-05T12:00:00+00:00,True,0.5,apple iphone 16 pro max,apple iphone 16 pro max,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 16 pro max,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Caméra Arriére,109.9,2026-04-05T12:00:00+00:00,False,0.5,apple iphone 16 pro max,apple iphone 16 pro max,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 16 pro max,camera
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Ecouteur,59.9,2026-04-05T12:00:00+00:00,True,0.5,apple iphone 16 pro max,apple iphone 16 pro max,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro max,ecouteur
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Haut parleur,59.9,2026-04-05T12:00:00+00:00,True,0.5,apple iphone 16 pro max,apple iphone 16 pro max,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro max,haut parleur
Apple,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,IPHONE 16 PRO MAX,Micro,99.9,2026-04-05T12:00:00+00:00,True,0.5,apple iphone 16 pro max,apple iphone 16 pro max,micro,micro,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 16 pro max,micro
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Module Afficheur,289.9,2026-04-05T12:00:16+00:00,False,0.5,apple iphone 16 pro,apple iphone 16 pro,module afficheur,module afficheur,1.0,1.0,289.9,59.9,True,1.3,0.0,apple iphone 16 pro,module afficheur
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Batterie,79.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 16 pro,battery
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Connecteur de charge,99.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,connecteur de charge,connecteur de charge,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 16 pro,connecteur de charge
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Appareil photo avant,89.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 16 pro,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Caméra Arriére,109.9,2026-04-05T12:00:16+00:00,False,0.5,apple iphone 16 pro,apple iphone 16 pro,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 16 pro,camera
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Micro,59.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,micro,micro,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro,micro
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Ecouteur,59.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro,ecouteur
Apple,https://save.co/reparation/apple/iphone-16-pro?shop=DT060,IPHONE 16 PRO,Haut parleur,59.9,2026-04-05T12:00:16+00:00,True,0.5,apple iphone 16 pro,apple iphone 16 pro,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 16 pro,haut parleur
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Module Afficheur,209.9,2026-04-05T12:00:33+00:00,False,0.5,apple iphone 16 plus,apple iphone 16 plus,module afficheur,module afficheur,1.0,1.0,209.9,59.9,True,1.3,0.0,apple iphone 16 plus,module afficheur
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Batterie,79.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 16 plus,battery
Apple,https://save.co/reparation/apple/iphone-16-plus?shop=DT060,IPHONE 16 PLUS,Appareil photo avant,89.9,2026-04-05T12:00:33+00:00,True,0.5,apple iphone 16 plus,apple iphone 16 plus,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 16 plus,appareil photo avant
