source_site,source_url,source,timestamp,device_type,device_family,brand,model,repair_type_raw,repair_type,repair_type_matched,price,currency,price_raw,data_type,scrape_started_at
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Module Afficheur,Module Afficheur,False,149.9,EUR,149.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Batterie d'origine,Batterie,True,79.9,EUR,79.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Caméra Arriére,Caméra Arriére,False,109.9,EUR,109.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Caméra Avant,Appareil photo avant,True,89.9,EUR,89.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Ecouteur interne,Ecouteur,True,59.9,EUR,59.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Haut Parleur,Haut parleur,True,59.9,EUR,59.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16e?shop=DT060,https://save.co/reparation/apple/iphone-16e?shop=DT060,2026-04-05T11:59:42+00:00,smartphone,Smartphone,Apple,IPHONE 16E,Micro,Micro,True,99.9,EUR,99.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,2026-04-05T12:00:00+00:00,smartphone,Smartphone,Apple,IPHONE 16 PRO MAX,Module Afficheur,Module Afficheur,False,389.9,EUR,389.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,2026-04-05T12:00:00+00:00,smartphone,Smartphone,Apple,IPHONE 16 PRO MAX,Batterie,Batterie,True,79.9,EUR,79.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,2026-04-05T12:00:00+00:00,smartphone,Smartphone,Apple,IPHONE 16 PRO MAX,Caméra Avant,Appareil photo avant,True,89.9,EUR,89.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,2026-04-05T12:00:00+00:00,smartphone,Smartphone,Apple,IPHONE 16 PRO MAX,Caméra Arriére,Caméra Arriére,False,109.9,EUR,109.9,repair_price,2026-04-05T11:57:47+00:00
save,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,https://save.co/reparation/apple/iphone-16-pro-max?shop=DT060,2026-04-05T12:00:00+00:00,smartphone,Smartphone,Apple,IPHONE 16 PRO MAX,Ecouteur interne,Ecouteur,True,59.9,EUR,59.9,repair_price,2026-04-05T11:57:47+00:00
